PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
GBR_SCO,01,m,45,5,C,02,04,1911,12,O,115245,.,.,.,1
GBR_SCO,01,m,50,5,C,02,04,1911,12,O,98213,.,.,.,1
GBR_SCO,01,m,55,5,C,02,04,1911,12,O,79116,.,.,.,1
GBR_SCO,01,m,60,5,C,02,04,1911,12,O,59932,.,.,.,1
GBR_SCO,01,m,65,5,C,02,04,1911,12,O,46123,.,.,.,1
GBR_SCO,01,m,70,5,C,02,04,1911,12,O,32176,.,.,.,1
GBR_SCO,01,m,75,5,C,02,04,1911,12,O,16454,.,.,.,1
GBR_SCO,01,m,80,5,C,02,04,1911,12,O,7416,.,.,.,1
GBR_SCO,01,m,85,5,C,02,04,1911,12,O,2391,.,.,.,1
GBR_SCO,01,m,90,5,C,02,04,1911,12,O,522,.,.,.,1
GBR_SCO,01,m,95,5,C,02,04,1911,12,O,80,.,.,.,1
GBR_SCO,01,m,100,+,C,02,04,1911,12,O,5,.,.,.,1
GBR_SCO,01,m,UNK,.,C,02,04,1911,12,O,186,.,.,.,1
GBR_SCO,01,m,TOT,.,C,02,04,1911,12,O,2308839,.,.,.,1
GBR_SCO,01,f,0,1,C,02,04,1911,12,O,53712,.,.,.,1
GBR_SCO,01,f,1,1,C,02,04,1911,12,O,51265,.,.,.,1
GBR_SCO,01,f,2,1,C,02,04,1911,12,O,54604,.,.,.,1
GBR_SCO,01,f,3,1,C,02,04,1911,12,O,53180,.,.,.,1
GBR_SCO,01,f,4,1,C,02,04,1911,12,O,51826,.,.,.,1
GBR_SCO,01,f,5,5,C,02,04,1911,12,O,255858,.,.,.,1
GBR_SCO,01,f,10,5,C,02,04,1911,12,O,243371,.,.,.,1
GBR_SCO,01,f,15,5,C,02,04,1911,12,O,229294,.,.,.,1
GBR_SCO,01,f,20,5,C,02,04,1911,12,O,217710,.,.,.,1
GBR_SCO,01,f,25,5,C,02,04,1911,12,O,203714,.,.,.,1
GBR_SCO,01,f,30,5,C,02,04,1911,12,O,185340,.,.,.,1
GBR_SCO,01,f,35,5,C,02,04,1911,12,O,167062,.,.,.,1
GBR_SCO,01,f,40,5,C,02,04,1911,12,O,142625,.,.,.,1
GBR_SCO,01,f,45,5,C,02,04,1911,12,O,125771,.,.,.,1
GBR_SCO,01,f,50,5,C,02,04,1911,12,O,107461,.,.,.,1
GBR_SCO,01,f,55,5,C,02,04,1911,12,O,87149,.,.,.,1
GBR_SCO,01,f,60,5,C,02,04,1911,12,O,69673,.,.,.,1
GBR_SCO,01,f,65,5,C,02,04,1911,12,O,58403,.,.,.,1
GBR_SCO,01,f,70,5,C,02,04,1911,12,O,48284,.,.,.,1
